Channel Wavelength(nm) Current 
0 183.11 0 
1 183.37 0 
2 183.64 0 
3 183.9 0 
4 184.17 0 
5 184.43 0 
6 184.69 0 
7 184.96 0 
8 185.22 0 
9 185.49 0 
10 185.75 0 
11 186.02 0 
12 186.28 0 
13 186.55 0 
14 186.81 0 
15 187.08 0 
16 187.34 0 
17 187.61 0 
18 187.87 0 
19 188.14 0 
20 188.4 0 
21 188.67 0 
22 188.93 0 
23 189.2 0 
24 189.46 0 
25 189.73 0 
26 189.99 0 
27 190.26 0 
28 190.52 0 
29 190.79 0 
30 191.05 0 
31 191.32 0 
32 191.58 0 
33 191.85 0 
34 192.11 0 
35 192.38 0 
36 192.64 0 
37 192.91 0 
38 193.17 0 
39 193.43 0 
40 193.7 0 
41 193.96 0 
42 194.23 0 
43 194.49 0 
44 194.76 0 
45 195.02 0 
46 195.29 0 
47 195.55 0 
48 195.82 0 
49 196.08 0 
50 196.35 0 
51 196.61 0 
52 196.88 0 
53 197.14 0 
54 197.41 0 
55 197.67 0 
56 197.94 0 
57 198.2 0 
58 198.47 0 
59 198.73 0 
60 199 0 
61 199.26 0 
62 199.53 0 
63 199.79 0 
64 200.06 0 
65 200.32 0 
66 200.59 0 
67 200.85 0 
68 201.12 0 
69 201.38 0 
70 201.65 0 
71 201.91 0 
72 202.18 0 
73 202.44 0 
74 202.7 0 
75 202.97 0 
76 203.23 0 
77 203.5 0 
78 203.76 0 
79 204.03 0 
80 204.29 0 
81 204.56 0 
82 204.82 0 
83 205.09 0 
84 205.35 0 
85 205.62 0 
86 205.88 0 
87 206.15 0 
88 206.41 0 
89 206.68 0 
90 206.94 0 
91 207.21 0 
92 207.47 0 
93 207.74 0 
94 208 0 
95 208.27 0 
96 208.53 0 
97 208.8 0 
98 209.06 0 
99 209.33 0 
100 209.59 0 
101 209.86 0 
102 210.12 0 
103 210.39 0 
104 210.65 0 
105 210.92 0 
106 211.18 0 
107 211.45 0 
108 211.71 0 
109 211.97 0 
110 212.24 0 
111 212.5 0 
112 212.77 0 
113 213.03 0 
114 213.3 0 
115 213.56 0 
116 213.83 0 
117 214.09 0 
118 214.36 0 
119 214.62 0 
120 214.89 0 
121 215.15 0 
122 215.42 0 
123 215.68 0 
124 215.95 0 
125 216.21 0 
126 216.48 0 
127 216.74 0 
128 217.01 0 
129 217.27 0 
130 217.54 0 
131 217.8 0 
132 218.07 0 
133 218.33 0 
134 218.6 0 
135 218.86 0 
136 219.13 0 
137 219.39 0 
138 219.66 0 
139 219.92 0 
140 220.19 0 
141 220.45 0 
142 220.71 0 
143 220.98 0 
144 221.24 0 
145 221.51 0 
146 221.77 0 
147 222.04 0 
148 222.3 0 
149 222.57 0 
150 222.83 0 
151 223.1 0 
